preprocessed_text,label_sentiment_number
baguss cuma please transfer ke bank lain jangan ada admin nya dong wkwkk,0
notifikasi brimo saya mati karena pilih jadwal cronjo push notifikasi kurang tepat masa jam malam hp bunyi bikin kaget saja agar lebih bijak iya team devnya,0
top lebih mudah transaksi guna brimo dan i banking safety terima kasih,2
mudah hidup,2
mantap keren bantu,2
semua mudah dengan brimo trmakasih bri telah beri mudah utuk nasabah,2
mantaappp brimo,1
baik,2
fast and responsive even in older device without sacrificing the overall lobagus of the app everything went smooth from registration to transaction ,2
bagus lah mudah dalam transaksi,2
sangat bantu,1
pilih data universitas buka tidak ada dalam list universitas apakah belum di update data ,1
lebih mudah dan ringan dalam aplikasi ,2
aman jamin,2
aplikasi bagus,2
semua bagus kendali,2
wow,2
jumlah notifikasi kurang telah di klik tapi tidak muncul,0
kenapa sekarang susah bngt log in tiap mau log in gagal terus padahal internet lancar tidak bisa digunain pas lagi dibutuhin,0
mantap josh,2
tolong dong aplikasi dibenerin banyak bug masa saldo sering tidak baca,1
bintang,1
tolong dong ini aplikasi dibenerinnnnn kata bisa daftar via online tnp ke cabang apa ini apa bahkan sulit sampai g bisa narik uang di atm sampai nomer telepon email g valid akhir di bagus in tapi nunggu hari proses video lama terus ini aplikasi milik negara bahkan nol banget bukan mudah bahkan mempersulittttttt,2
sangat bantu kirim cepat tidak pernah pending selalu tingkat forma mu iya,2
saya verifikasi wajah sampai mulut busa selalu gagal,0
sangat praktis,1
sekali,1
sangat simple,1
bagus aplikasi,2
capek daftar tidak bisa bisa kode yang dari nomor hp tidak bisa dari email pung tidak bisa kayak mana mau buka brimo daftar sehariang tidak bisa ngulang ngulang melulu ,0
lebih mudahh transaksi,1
mantap,2
super app buat anak bangsa yang milik banyak fitur kembang lagi fiturnya,2
mau daftar kenapa stuck di awal nunggu sms gamasuk mau kirim ulang juga gabisa pencet,0
best mbanking,2
bagus bagus,2
baguse,1
kenapa susah banget loginnya hai padahal sudah reset pasword masih saja tidak bisa login sistem very bad atau bagaimana,0
awesome,2
owsem,1
brimo supperapps baik ,2
terima kasih sukseme bri,1
kenapa saat laku rekam video selalu gagal,0
mantulita,1
aplikasi nya ribet banget padahal tinggal rekam tapi selalu gagal sudah emial konsenter brimo tapi balas nya tidak sama sekali kembantu bahkan di suruh coba hari kali sedang kan saya hampir minggu coba vertifikasi tapi masih tidak bisa sudah ke cabang bahkan di suruh bikin sendiri kan gila saya bikin brimo karena atm saya hilang sedang kan saya mau bikin lagi di cabang blambangn umpu kabupaten way kanan stbagus kartu atm nya habis terimakasih,0
transaksi apa mudah dengan tampil yang fungsional,2
tampil menu mudah erti,2
tidak ada bonus tapi bagus,2
sangat muas,1
bagus,2
apk g jelas banget asw lambat kali aneh,0
saya sudah daftar brimo sampai tahap rekam video sudah ulang kali laku rekam video dan ikut semua instruksi namun tidak pernah hasil apakah rumit ini proses daftar brimo,1
cepat kilat tidak belibet aplikasi terima kasih alot brimo,2
sudah aman lemah login susah bank paling cacat skip saja dulu gaees,0
bagus,2
aman lancar mudah praktis pbagusbagusnya,2
bagus,2
kenapa tidak bisa sudah laku sesuai dengan instruksi tapi masih tidak bisa bagaimana sih aplikasi ini,2
keren keren,2
layan area jakarta bagus,2
sangat mudah dalam transaksi,2
karena akomodasi cara seluruh,1
broadcast notif selalu tengah malam dan bikin kaget memang tidak ada jam lain iya wkwk aplikasi lain tidak ada yang broadcast notif jam an jadi disilent saja daripada ngagetin tiap male notifnya,1
sangat bantu sekali dalam proses transaksi dan saving money mudah dan efisien,2
cepaaattt,1
sukses selalu brimoo,2
sangat bantu ,1
cepat,2
dari dulu ke iya bisa bikin e banking lewat apl maju terus deh,2
bagus,2
tapi user timeout nya kayak kecepetan deh iya,1
bagus,2
cakep po,0
mntap,1
bagus,2
sip,1
mantap dan terus tingkat,2
bagus,2
sudah di coba ulang kali hari hari tetap tidak bisa ambil rekam video untuk verifikasi diri daftar brimo sudah ke bank dekat juga tidak bisa dan aplikasi sudah di hapus download ulang juga tetap tidak bisa apakah ada solusi untuk masalah seperti ini,0
tapi daftar di website utama bri,1
baguse fast safe,2
menu lengkap dan praktis,1
otp email dan sms tidak keluar saat verifikasi lupa password dari beberapa hari,0
lebih mudah untuk transaksi,2
goo,1
sangat bantu,1
sangat mudah di guna da cepat,2
sering erorr,1
guna aplikasi mudah bukan nyusahin bikin rekam nyampe kali gagal melulu,0
coba tingkat untuk bayar beberapa tbaguso game iya,1
page bri ceria di ios masalah tampil tidak bisa full page jadi beberapa link tidak bisa ter click tolong di baik,2
mantap,2
tolong dong nominal tarik tunai ny knapa tidak ada pilih yang saldo sisa mau narik tidak bisa minimal kalau mau narik mau buat kartu atm juga masa di cabang mana kosong tidak ada kartu tolong dong brimo mudah mau ambil uang jadi susah,0
bagus,2
keren,2
transaksi jadi makin mudah,2
mau daftar susah banget gagal melulu di rekam ,0
bagus,2
kenapa gagal saat proses rekam video padahal jaring sudah bagus dan sudah laku yang tentu,2
verifikasi kyc gagal terus sudah ulang berpa kali pun sampai instal ulang juga tetep gagal,0
interface simple dan ringkas mudah guna,2
tidak terima link untuk verifikasi,1
sulit kalau tidak bisa narik coba di buatin fiturnya,0
terbaikk,1
puas,2
bri makin bagus,2
saya sudah ganti nomor hp yang lama di atm dekat tapi kenapa saya daftar akun brimo tetap mengunakan no hp yang lama bukan sudah ganti yaa,0
smart,2
sangat bantu saat transaksi,1
lupa pin harus aktivasi ke cabang dekat coba ajar dari bank lain yang sama sama milik perintah dengan nama yang hampir sama cuma beda huruf abjad bisa baik sendiri lewat aplikasi repot,2
dan cepat,2
kenapa saya tidak bisa login padahal username sama password sudah benar,2
wow,2
brimo makin keren,2
muas mudah,2
so far tidak pernah ada masalah,0
joss wes apix,1
jelek banget tidak ditingkatin dari dulu kata mudah guna ini mah sulit tiap registrasi gagal melulu sudah ikutin instruksi padahal tidak ada alas jelas,0
tahan,1
lancar dan sangat bantu ,1
please update for ios brizzi nfc not working,0
alhamdulillah sangat bantu,1
biasa saja,0
sangat baik,2
bagus,2
keren memudahkn segalax,2
mantap,2
kbagus susah banget login anjing anda belum logout dengan sempurna coba login beberapa saat lagi sampai jam gitu terus jawab beberapa saat itu brapa tahun asu,0
sangat bantu,1
sangat batu,0
saya rasa bantu dengan brimo,1
user friendy easy to use,2
bagus,2
sip,1
bagusss banget,1
kern,1
bagus,2
sangat bantu dan mudah dalam transaksi,2
bagus,2
bagus apk nya gampang buat transaksi,2
mksih,1
mudah cara makenya mantap,2
kasih foto profil mamang developer,1
bagus,2
banyak ganggu,0
aplikasi tidak jelas susah amat mau cek saldo mau pakai kartu atm saja sekarang eh bahkan tidak ada produksi lagi ktanya males banget suka emosi saya brimo ini,2
tengah malam gabisa guna,1
bri ini sedang taruh security system nya banyak sekali orang gampang kena skming uang nasabah di brimo pada kurang sendiri hilang ds bri itu bukan bank kemarin sore baik sistem aman nya,2
brimo goblbagus,1
bagus,2
bagus,2
limit terus,1
sangat ber guna,1
mudahmudahan aman,2
ribet lebih baik tidak jelas sudah daftar selalu error tidak guna,2
ini bagaimana pula tidak bisa login aneh parah deh,0
daftar brimo saja susah benar gagal di rekam terus tolong bikin simple saja semua rulesnya juga sudah diikutin masih tetap tidak bisa mobile bangking bank lain simple simple saja asa emang bri saja paling ribet,0
nan,1
mantapsss,1
masa foto ktp gagal tidak sesuai nama dan identitas pada saat ktp dan data sudah sesuai eh bahkan susah di bagi rekam video sampai sudah isi paket data isi pulsa telepon call centernya tapi bahkan tidak jadi bahkan signature failed melulu dasar aplikasi perban tergoblbagus,0
mumudahkan,1
kenapa saya mau daftar brimo tidak bisa iya pas rekam vidio error terus ini kenapa sih,0
selamat malam bapak ibu saya ingin tanya kenapa saldo di brimo saya tiba tiba kosong harap ikan informasi yang jelas bapak ibu terimakasih brimo,2
mudah banget dalam segala hal,2
tolong baik,2
sering eror kalau jelang tengah malam,1
kenapa iya gabisa topup shopeepay kiat jam malam,1
appreciated the fast transactions,2
gilak memang gagal ros verifikasi wajah di tempat terang pun mas gagal,0
sudah registrasi ke sistem brimo lewat cs tapi waktu registrasi lewat brimo nya pas take video error terus sudah lebih dari,0
bagus,2
tanpa ribet,1
kenapa iya kbagus sekarang kartu fisik e atm bri simpedes sudah tidak ada lagi tolong dong yang belum kebagiann,1
mantuulll,1
baguss dan cepat,2
lengkap dan mudah,2
sip,1
nan,1
puas,2
tiap kali mau di baharu selalu gagal akibat tidak bisa laku adu masalah lalu aplikasi brimo,0
bagus,2
kenapa saya tidak terima kode verifikasi email padahal email yang saya masuk sesuai dengan email yang saya guna di apk mail,2
rekening digital tapi sistem konvensional masih suruh ke kantor cabang ,1
lebih mudah,2
banget aplikasi,1
bagus keep better bagus jo bri i feel everything get easier and easier salam,2
kenapa saya tidak bisa laku bayar qris dengan metode bayar kartu kredit,2
finally tidak pelu nomor tbagusn lagi ,0
baguss,1
mantaplh,1
biar simpel,1
kenapa yah gabisa masuk jawabanya keblbagusir sudah coba dibenerin sesuai sama prosedur suruh lupa pasword lupa username tapi pesa linknya tidak masuk,2
sangat bantu,1
cepat dapat cs yang humble dan jelas dengan jelas dan jalan aplikasi cekat trampil cepat dan tepat hebat clara,2
mantap,2
kenapa sulit sekali daftar lewat aplikasi saya uninstall dan install kali kali untuk proses ,0
mantab,2
sangat bantu sekali aplikasi dan sangat mudah cuma kalau bisa tambahin menu buat cetak koran versi digital dong min yang bisa di download buat evaluasi alur uang pribadi biar bisa lihat dari mana datang uang dan mana tu uang pergi main ma terima kasih,0
bagus,2
cukup guna,2
the best flawless fast smooth,2
grate bri,1
mantap kalau lagi waras asal tidak sering error saja,2
nomero unoo,1
simpel,1
mantap,2
semenjak update ios tidak bisa login face id login biasa lupa pass username tidak daftar sangat rugi sangat kecewa pakai aplikasi mobile banking bank yang kata canggih,0
mantap mudah di akses fiturnya,2
lebih mudah pakai brizzi yang dulu karena bisa cek saldo dan aktivasi saldo brizzi tanpa login sekarang untuk guna fitur sebut waji login lebih dahulu,2
aplikasi macam kntolllll susah banget login tolol,0
keren,2
bagus,2
mantap,2
mantap,2
mudah tidak ribet bantu sekali kalau misal lupa bawa kartu atm,2
cepat,2
mudah dalam transaksi cashless,2
app payah tidak bisa tambah rek langsung freeze sudah ulang kali kali juga tidak bisa tambah rek arti tidak bisa pakai app tidak manfaat sama sekali,2
wichecka,1
maju terus bri,2
baik bank bri,2
bagus,2
e kyc gagal melulu sudah kali kali nyoba tetep gabisa,0
moga bank sumsel babel bisa maju bri,2
bagus,2
sangat puas layan,2
mantap,2
matep,1
memudahkn,1
lumayan,2
bagus mantap,2
sangat bantu,1
sangat bantu,1
belum transaksi tiba tiba limit,1
saya sudah tulis terdafatar di brimo tapi pas daftar bahkan tidak bisa,1
waktu registrasi bagi rekam video selalu dapat response error signature invalid padahal sudah ikut semua tunjuk,0
lumayan,2
untuk verifikasi selalu gagal kenapa mesti gagal sih kata mudah nasabah sedia vitur e kyc bahkan di tolak terus mana unistal instal terus lagi buat bisa login payah,0
akses gampang,1
cepat mudah dan praktis,2
mantaf,1
baik terus,2
the best apk,2
sangat praktis,1
mudah di guna ,2
joss,1
bagus bantu,2
sangat bantu dalam transaksi,1
nyataaa,1
qwjah,1
tolong tingkat,1
top,2
mantap,2
dapat notifikasi bisa guna qr di brimo dan sekali bisa lihat cc bri di brimo pas cek di app tidak bisa info belum sedia,1
bagus,2
nan,1
aplikasi tidak sedia menu adu untuk transaksi yang inisiasi oleh bank misal potong kali yang laku oleh bank hanya ada adu transaksi yang inisiasi oleh guna,2
bebas admin sama bri,1
tidak bisa aktif bripoin,1
mantap,2
mudah agar tidak bulak balik ke bank,2
baik,2
aplikasi untuk bayar banyak biar mau bayar listrik dan lain cuma lewat brimo,0
bagus dan simple bank app,2
eror terus tolong tingkat lagi iya masa mau trf dan cek saldo doang harus ke atm,0
easy to do,2
bagus ui and function,2
bayar ceria di baik masih ngebugs tidak bisa bayar,2
tolong hilang suara brimo ketika selesai transaksi,0
aplikasi yang sangat bantu butuh,1
aplikasi bagus tapi mohon di cek pegawai cs nya ada beberapa kurang ramah dan kerja lambat,2
layan lebih enak dan gampang mudah di akses mana saja,2
tenks,1
sangat bantu jika malas keluar,0
bestttttt,1
mantap,2
mudah semua transaksi,2
bagus dan sangat mudah sekali,2
aplikasi nya kadang suka aneh kita harus laku dua kali proses karena proses yang pertama pasti selalu gagal,1
mantap,2
yang baru bikin nyaman dan tarik,2
sampai saat ini brimo keren,2
kembang bri mobile makin baik dan inovatif,2
nan,1
sangat mudah dan cepat,2
sangat kecewa fitur lupa pasword tidak bisa di guna kasi kami yang jarak jauh dari kota harus ke kota lagi buat buka blbagusir akun,0
bagus apps,2
kemarin dapat error the data couldn t be read because it isn t in the correct format sekarang dapat error signature not valid pada saat proses rekam untuk verifikasi diri,0
mantappp sejahtera dan aman sentosa pakai brimo,2
mantap,2
sudah update tapi bayar qris guna kartu kredit masih belum juga bisa tah kenapa padahal bank besar,2
apk goblbagus sistem sampah daftar coba tetap gabisa ajg duit banyak cuma buat apk kaya sampah gin jangan cuma pgn untung saja,0
pmbyrn jadi mudah,2
semua jadi mudah pakai bri mau,2
kenapa ribet banget di proses rekam video coba diskusi dengan privyid buat upgrade ai verifikasi via rekam video,1
mantap,2
tidak punya uang,1
simpel dan mudah utama yang sering gilang kartu atm ,2
easy to use,2
bagus,2
sangat bantu dalam transaksi,1
error pas ambil video asa bumn budget gede buat bikin aplikasi masa kalah sama pinjol malu bosss,0
layan cepat dan mantap,2
mudah dalam transaksi,2
top,2
transaksi lebih cepat,2
gatau ngerasa design yang lama lebih simpe dan minimal saja,0
bagus,2
tidak ribet cocbagus buat generasi mager,1
saya mau bayar via briva di brimo tapi selalu gagal proses dengan notif error ios dan koneksi internet baik,0
bisa trasfer dengan biaya yang murah,1
tambahin filtur topup untuk m tix yang buat saku itu mau beli tiket online jadi susahh semogaa cept ditambahin,1
comportable app,1
tolong diupdate applikasi bya untuk bisa update saldo tanpa harus login untuk kartu uang elektronik brizzi e money mandiri dan flazz bca saja sudah,1
bagus,2
baik,2
bagus,2
bagus keren,2
banget,1
aplikasi nya bagus lama ini lancar lancar saja moga bisa makin baik dan bagus,2
transaksi lancar urus jadi mudah ,2
mantap kali,2
tari ribu tidak ada jadi saya kasih bintang saja,1
sangat baik,2
joss,1
tingkat lagi,1
praktis mudah guna,2
top up tidak ada admin deh mantap,2
mantap lah,2
saya sulit untuk daftar karena gagal di bagi video,0
makin mudah,2
tetap seperti ini,2
saat ambil video untuk buat akun terang selalu error tolong segera baik,2
nan,1
mudah cepat,2
bagus,2
sangat cepat,2
agak mudah kan,2
sip hanya untuk catat kurang banyak,0
bagus apps,2
tolong dong kak jaga baik aplikasi ini soal saya kena tipu atas nama pihak dari bri dan di suruh mingirim kode otp tolih di ketat lagi jaga kak,0
transaksi cepat kereeen,2
terbaikk jadi gampang kalau mau tf atau bayar sukaaa gampang aman the besttt deh,2
fitur bagus dan lengkap,2
simple cepat,2
belum ketemu masalah sih gatau kalau deh lama,0
praktis,1
tidak bisa bikin akun pas rekam video bilang nya format tidak baca kan goblbagus ehhhh,1
mudah segala urus bayar dan bisnis,2
sangat baik,2
gxtx,1
kenapa saya saat akan registrasi dengan ambil video tidak bisa dapat tulis signature not valid padahal saya sudah ikut arah dari aplikasi mohon bantu,0
mudah guna tingkat terus aplikasi iya,2
kenapa saya verifikasi wajah gagal terus padahal sudah isi,0
mohon transaksi qris notif transaksi masuk jangan tunggu baru ada notif nya,2
moga inovasi lebih baik lagi,2
bisa cek dan update saldo brizzi tanpa mesti buka akun bri skarang jadi tidak bisa cek dan update saldo brizzi arah buka akun bri habis ini fix buang kartu brizzi,0
sangat bantu mudah traksaksi,2
saya ingin laku bayar tetapi tidak bisa lalu akun ceria selalu saja terang ganggu sampaj saya di telepon operator karena lambat bayar sedang sudah autodebet tapi kenapa belum juga potong lalu harus bagaimana cara saya bayar cicil ceria dan tahu nomor briva ceria susah sekali padahal saya tidak ingin ada lambat dalam bayar baik cepat ceria nya,2
mntap,1
jdjbbd,1
sangat baik,2
banyak tahap dan selalu ganggu jadi tidak hasil terus untuk buat akun,0
brimo simple dan cepat untuk transaksi bagi semua,2
iya bagus,2
layan yang sangat bagus,2
kenapa pada saat verifikasi rekam selalu gagal iya,0
bagus,2
kenapa ganggu terus hp nyaaaaaaa,0
mohon tambah fitur download mutasi bulan,2
well its really easy to use,2
bagus nuhuun,2
bagus,2
sudah ulang kali coba tetap tidak bisa tolong di bantu,1
sangat bantu,1
susah banget mau login doang,0
brimo update tiap tahun,1
sukaaaaa,1
run well,2
bagus,2
sangat bantu dan efektif,1
aplikasi bank bri kbagus tidak jelas banget telah dapat kode dari sms terus bagaimana tahap lanjut nya apakah harus ke bank dulu apa bagaimana ribet banget sih,2
kenapa sudah selesai input data lanjut verifikasi tapi selalu loading stack di tidak lagi,1
nan,1
akun brimo saya keblbagusir lalu saya coba lupa password dan hasil ganti password baru pas login password dan user salah sudah tetap saja begitu selalu,0
mantap,2
sangat mmbantu trimakasih,1
mantap,2
mantap,2
bagus,2
brimo keren sekarang sudah bisa semua transaksi,2
tidak bisa akses bri guna maupun ceria di ios,2
capat,1
excellent,2
mantap,2
the logins mechanism is to complicated and also the log out i hope it will be more simple in the future,2
bagus banget aplikasi sangat bantu,2
sangat bantu dengan ada aplikasi brimo saat ini tidak perlu ribet lagi ke bank,1
guna brimo mudah transaksi bank,2
sangat bantu dalam transaksi uang hemat waktu tenaga biaya ruang gerak dan semua mudah hanya dalam genggam,2
alhamdulillah urus jadi mudah karena ada bri,2
bagusee,1
baik sekali layan,2
mantap,2
ulas,1
usefull,1
bagus,2
banyak bantu,1
sangat bantu,1
cepat dan tepat,2
bagus saja dulu,2
apa apa ini laku untuk bri junio,2
manta kalee,1
masih bagus,2
aplikasi jozzz,1
pada saat guna pertama saya keliru masuk password recovery data cepat sinkronisasi email dan sms dengan aplikasi jadi data lebih aman moga lebih baik lagi depan,2
mudah guna,2
maaf kak in kenapa ya saya atur tanggal lahir dn tanggal lahir nya tnggl tapi tidak bisa dia selalu ke tnggl terus tolong bantu begitu bulan dan tahun susah di atur,0
mantap,2
transaksi cepat aman,2
mantappp,1
mudah transaksi ,2
tidak bisa login taek ada potong saya tidak kasih tahu saya mau pindah bca saja lah ajig,0
luar biasa,0
mantap,2
untuk saran alamgkah baik kalau ada pilih print mutasi by pdf biar lbh gampang bagi kita yang punya usaha untuk lihat rincian transaksi,2
baik sekali,2
bagus,2
pandang sungai mahakam ada kapal tongkang batu bara lewat sini,0
recommend,2
bagus,2
kenapa kode otp yang gagal kadaluarsa tidak dapat dimasukin kembali,0
guna baru dan masih saja lancar jaya tingkat lagi dan tahan yang sudah baik,2
kak kenapa pas saya masuk rekam kakak tidk bisa kirim tapi ada tulis error signature not valid itu kenapaya,0
tampil bagus mudah transfer ke dompet digital gratis terimakasih brimo,2
user interface yang sekarang mudah paham aplikasi ringan tidak banyak fitur yang tidak perlu nyaman,2
aplikasi klas bri kbagus busuk wong tidak ada yang salah log in kbagus diblbagusir,0
yoogbsbdndnsn,1
easy to use,2
bagus,2
bismillah undi dapat mobil,1
dalam operasional transaksi seperti bayar cicil dengan transfer bayar tbagusn listrik dan lain lebih mudah dn cepat,2
terima kasih bri,1
mantap,2
hampir semua sudah bagus namun untuk isi menu riwayat transaksi tidak langsung terupdate telah laku transaksi sehingga untuk lihat kembali pada list riwayat transaksi harus tunggu lama dan kadang suka list transaksi mohon ditindaklanjuti terima kasih,2
bagus,2
trimaksih,1
apk brimo the best mau bayar apa bisa pakai apk ini,2
kbagus nggk bisa yah selalu ada tulis e kyc nyata gagal silah ulang registrasi padahal sudah ulang ulang kali,0
mudah di guna,2
bagus transaksi sangat mudah,2
lebih gampang,1
mantap,2
moga bri tingkat security dan beri ilmu agar tidak banyak nasabah yang tipu,0
tidak bisa daftar mau cek status rekening di call center saja tidak bisa guna call center apa tahun lalu call center tidak bisa cek status rekening tapi kalau sudah pasti sudah tidak aktif eh pas ke kantor cabang nyata aktif tapi cabang kecil juga tidak bisa mau minta kartu atm tidak bisa juga cuma bisa cek status rekening sama cek saldo hri ini telah lebih dari tahun telepon call center info masih sama tidak ada baik dari sisi layan mana lain sudah digital tanpa harus ke cabang sudah bisa cek status rekening dan request lain ini bri masih kolot,0
transaction went well,2
transksi cepat puas saya,2
tidak puas dengan layan,2
suka banget dengan process ini,2
saat sedang laku registrasi brimo tetapi selalu gagal di rekam video detik padahal sudah ikut atur rekam yang minta koneksi internet stabil video terang dengan latar polos suara kencang saat ucap yang minta device dengan ios dan apps brimo versi baru di tetapi selalu gagal dengan tulis error signature not valid,0
gabisa daftar gagal melulu,0
bagus,2
baik,2
keren,2
sangat bantu namun perlu tingkat dari segi aman,2
semenjak ada brimo semua jadi mudah dalam transaksi,2
