preprocessed_text,label_sentiment_number,predicted_label_svm,predicted_label_log_reg,predicted_label_rf,predicted_label_nb,predicted_label_knn
aman lancar mudah praktis pbagusbagusnya,2,2,2,2,2,1
sangat bantu sekali dalam proses transaksi dan saving money mudah dan efisien,2,1,2,2,2,2
mau daftar kenapa stuck di awal nunggu sms gamasuk mau kirim ulang juga gabisa pencet,0,0,0,0,2,0
bagus,2,2,2,2,2,2
cakep po,0,1,2,1,2,0
saat ambil video untuk buat akun terang selalu error tolong segera baik,2,0,2,2,2,2
memudahkn,1,2,2,1,2,2
bagus lah mudah dalam transaksi,2,2,2,2,2,2
kenapa iya kbagus sekarang kartu fisik e atm bri simpedes sudah tidak ada lagi tolong dong yang belum kebagiann,1,2,2,2,2,0
lumayan,2,2,2,2,2,0
bagus,2,2,2,2,2,2
mntap,1,1,1,1,1,0
tidak bisa bikin akun pas rekam video bilang nya format tidak baca kan goblbagus ehhhh,1,0,0,0,2,0
otp email dan sms tidak keluar saat verifikasi lupa password dari beberapa hari,0,2,2,2,2,0
sampai saat ini brimo keren,2,2,2,2,2,2
bagus ui and function,2,2,2,2,2,2
pada saat guna pertama saya keliru masuk password recovery data cepat sinkronisasi email dan sms dengan aplikasi jadi data lebih aman moga lebih baik lagi depan,2,2,2,2,2,2
kemarin dapat error the data couldn t be read because it isn t in the correct format sekarang dapat error signature not valid pada saat proses rekam untuk verifikasi diri,0,2,2,0,2,0
luar biasa,0,0,2,1,2,0
mantap dan terus tingkat,2,2,2,2,2,2
baguss cuma please transfer ke bank lain jangan ada admin nya dong wkwkk,0,1,2,2,2,2
bagus,2,2,2,2,2,2
pilih data universitas buka tidak ada dalam list universitas apakah belum di update data ,1,0,2,2,2,2
manta kalee,1,1,2,1,2,0
sip,1,1,1,1,1,0
bismillah undi dapat mobil,1,1,2,1,2,0
bisa trasfer dengan biaya yang murah,1,2,2,2,2,2
sip,1,1,1,1,1,0
lebih mudahh transaksi,1,2,2,2,2,2
dapat notifikasi bisa guna qr di brimo dan sekali bisa lihat cc bri di brimo pas cek di app tidak bisa info belum sedia,1,0,2,2,2,0
bagus banget aplikasi sangat bantu,2,1,1,1,2,1
kenapa sudah selesai input data lanjut verifikasi tapi selalu loading stack di tidak lagi,1,0,2,0,2,0
tolong hilang suara brimo ketika selesai transaksi,0,1,2,1,2,2
page bri ceria di ios masalah tampil tidak bisa full page jadi beberapa link tidak bisa ter click tolong di baik,2,2,2,2,2,0
kenapa sekarang susah bngt log in tiap mau log in gagal terus padahal internet lancar tidak bisa digunain pas lagi dibutuhin,0,0,0,0,2,0
owsem,1,1,2,1,2,0
tapi daftar di website utama bri,1,1,2,1,2,1
tapi user timeout nya kayak kecepetan deh iya,1,2,2,1,2,2
user friendy easy to use,2,2,2,2,2,2
tampil bagus mudah transfer ke dompet digital gratis terimakasih brimo,2,2,2,2,2,2
tidak terima link untuk verifikasi,1,1,2,1,2,2
jelek banget tidak ditingkatin dari dulu kata mudah guna ini mah sulit tiap registrasi gagal melulu sudah ikutin instruksi padahal tidak ada alas jelas,0,2,2,2,2,2
bagus,2,2,2,2,2,2
brimo makin keren,2,2,2,2,2,2
mudah guna,2,2,2,2,2,2
akses gampang,1,2,2,1,2,2
kenapa ribet banget di proses rekam video coba diskusi dengan privyid buat upgrade ai verifikasi via rekam video,1,0,1,0,2,0
gabisa daftar gagal melulu,0,0,0,0,0,0
mantap,2,2,2,2,2,2
mudah di guna ,2,2,2,2,2,2
moga bri tingkat security dan beri ilmu agar tidak banyak nasabah yang tipu,0,2,2,2,2,1
banget,1,1,1,1,2,1
mantap,2,2,2,2,2,2
tambahin filtur topup untuk m tix yang buat saku itu mau beli tiket online jadi susahh semogaa cept ditambahin,1,1,2,2,2,0
sip hanya untuk catat kurang banyak,0,1,1,1,2,0
joss,1,1,1,1,1,1
sudah di coba ulang kali hari hari tetap tidak bisa ambil rekam video untuk verifikasi diri daftar brimo sudah ke bank dekat juga tidak bisa dan aplikasi sudah di hapus download ulang juga tetap tidak bisa apakah ada solusi untuk masalah seperti ini,0,0,0,0,2,1
kenapa kode otp yang gagal kadaluarsa tidak dapat dimasukin kembali,0,2,2,0,2,2
usefull,1,1,2,1,2,0
sangat mudah dan cepat,2,2,2,2,2,2
gilak memang gagal ros verifikasi wajah di tempat terang pun mas gagal,0,0,0,0,2,0
bagus,2,2,2,2,2,2
tidak puas dengan layan,2,2,2,2,2,2
baik sekali,2,2,2,2,2,2
cukup guna,2,2,2,1,2,2
bagus,2,2,2,2,2,2
sangat bantu dalam transaksi uang hemat waktu tenaga biaya ruang gerak dan semua mudah hanya dalam genggam,2,1,2,2,2,2
bagus,2,2,2,2,2,2
sangat baik,2,2,2,2,2,2
bagus saja dulu,2,2,2,2,2,2
semua bagus kendali,2,2,2,2,2,2
comportable app,1,2,2,1,2,2
sangat baik,2,2,2,2,2,2
mantap josh,2,2,2,2,2,2
banyak tahap dan selalu ganggu jadi tidak hasil terus untuk buat akun,0,0,2,2,2,0
excellent,2,1,2,1,2,0
bagus,2,2,2,2,2,2
bestttttt,1,1,2,1,2,0
brimo goblbagus,1,1,2,1,2,1
trimaksih,1,1,2,1,2,0
lebih gampang,1,2,2,2,2,2
tidak bisa akses bri guna maupun ceria di ios,2,2,2,2,2,2
sangat bantu dengan ada aplikasi brimo saat ini tidak perlu ribet lagi ke bank,1,2,2,2,2,1
sangat praktis,1,1,1,1,1,1
qwjah,1,1,2,1,2,0
bagus,2,2,2,2,2,2
easy to use,2,2,2,2,2,2
kenapa saat laku rekam video selalu gagal,0,0,0,0,0,0
saat sedang laku registrasi brimo tetapi selalu gagal di rekam video detik padahal sudah ikut atur rekam yang minta koneksi internet stabil video terang dengan latar polos suara kencang saat ucap yang minta device dengan ios dan apps brimo versi baru di tetapi selalu gagal dengan tulis error signature not valid,0,0,0,0,2,0
mantap kali,2,2,2,2,2,2
saya sulit untuk daftar karena gagal di bagi video,0,0,0,0,2,0
kenapa ganggu terus hp nyaaaaaaa,0,0,2,0,2,0
baik bank bri,2,2,2,2,2,2
mksih,1,1,2,1,2,0
layan cepat dan mantap,2,2,2,2,2,2
tolong dong ini aplikasi dibenerinnnnn kata bisa daftar via online tnp ke cabang apa ini apa bahkan sulit sampai g bisa narik uang di atm sampai nomer telepon email g valid akhir di bagus in tapi nunggu hari proses video lama terus ini aplikasi milik negara bahkan nol banget bukan mudah bahkan mempersulittttttt,2,0,2,0,2,0
top,2,2,2,2,2,2
tampil menu mudah erti,2,2,2,2,2,2
mudahmudahan aman,2,2,2,2,2,2
transksi cepat puas saya,2,2,2,2,2,2
ini bagaimana pula tidak bisa login aneh parah deh,0,2,2,2,2,0
brimo update tiap tahun,1,1,1,1,2,0
kenapa tidak bisa sudah laku sesuai dengan instruksi tapi masih tidak bisa bagaimana sih aplikasi ini,2,2,2,2,2,0
kenapa saya saat akan registrasi dengan ambil video tidak bisa dapat tulis signature not valid padahal saya sudah ikut arah dari aplikasi mohon bantu,0,0,0,0,2,0
simpel,1,1,1,1,2,0
saya verifikasi wajah sampai mulut busa selalu gagal,0,0,0,0,0,0
jumlah notifikasi kurang telah di klik tapi tidak muncul,0,2,2,1,2,2
sangat bantu ,1,1,1,1,1,1
apk brimo the best mau bayar apa bisa pakai apk ini,2,2,2,2,2,2
sangat mudah di guna da cepat,2,2,2,2,2,2
mantap,2,2,2,2,2,2
goo,1,1,2,1,2,0
transaksi lancar urus jadi mudah ,2,2,2,2,2,2
sangat bantu dan mudah dalam transaksi,2,2,2,2,2,2
mantab,2,1,2,1,2,0
bagus,2,2,2,2,2,2
keren,2,2,2,2,2,2
